instrument,event_ticker,settlement_index,status,side,outcome_field,quantity,entry_price,entry_model_price,edge_at_entry,spot_at_entry,bid_at_entry,ask_at_entry,bid_size_at_entry,ask_size_at_entry,entry_time,expiry_time,settlement_time,settlement_outcome,entry_notional_usd,max_loss_usd,gross_pnl_per_contract,gross_total_pnl,fees_per_contract,fees_total,net_total_pnl,order_id,params_path
GEMI-BTC2603160400-HI74000,BTC2603160400,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,89,0.44,0.32308970386800195,0.11691029613199805,73798.0,0.44,0.56,20.0,20.0,2026-03-16T03:39:29Z,2026-03-16T04:00:00Z,2026-03-16T04:04:38Z,0,39.16,49.84,0.44,39.16,0.02,1.78,37.38,paper-GEMI-BTC2603160400-HI74000-1773632369,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160400-HI74250,BTC2603160400,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,86,0.42,0.37065334138345446,0.049346658616545525,74165.71,0.42,0.55,20.0,20.0,2026-03-16T03:40:14Z,2026-03-16T04:00:00Z,2026-03-16T04:01:21Z,0,36.12,49.88,0.42,36.12,0.02,1.72,34.4,paper-GEMI-BTC2603160400-HI74250-1773632414,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603162100-HI73750,BTC2603162100,GRR-KAIKO_BTCUSD_1S,open,buy,yes,96,0.52,0.558282746971767,0.038282746971767034,73986.0,0.45,0.52,444.0,416.0,2026-03-16T03:43:58Z,2026-03-16T21:00:00Z,,,49.92,49.92,,,0.02,1.92,,paper-GEMI-BTC2603162100-HI73750-1773632638,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603162100-HI73250,BTC2603162100,GRR-KAIKO_BTCUSD_1S,open,buy,yes,84,0.59,0.6417659373461677,0.051765937346167745,73878.39,0.52,0.59,384.0,487.0,2026-03-16T03:49:04Z,2026-03-16T21:00:00Z,,,49.56,49.56,,,0.02,1.68,,paper-GEMI-BTC2603162100-HI73250-1773632944,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603162100-HI74250,BTC2603162100,GRR-KAIKO_BTCUSD_1S,open,buy,yes,131,0.38,0.4252522655235722,0.0452522655235722,73878.39,0.31,0.38,645.0,322.0,2026-03-16T03:49:04Z,2026-03-16T21:00:00Z,,,49.78,49.78,,,0.02,2.62,,paper-GEMI-BTC2603162100-HI74250-1773632944,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160500-HI73750,BTC2603160500,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,142,0.35,0.4193219900548353,0.0693219900548353,73617.97,0.26,0.35,49.0,49.0,2026-03-16T04:10:46Z,2026-03-16T05:00:00Z,2026-03-16T05:08:15Z,1,49.7,49.7,0.65,92.3,0.02,2.84,89.46,paper-GEMI-BTC2603160500-HI73750-1773634246,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160500-HI73500,BTC2603160500,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,147,0.66,0.5916569828043775,0.06834301719562252,73632.1,0.66,0.72,46.0,46.0,2026-03-16T04:12:46Z,2026-03-16T05:00:00Z,2026-03-16T05:01:52Z,1,97.02,49.98,-0.34,-49.98,0.02,2.94,-52.92,paper-GEMI-BTC2603160500-HI73500-1773634366,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160500-HI74000,BTC2603160500,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,250,0.2,0.24749575945451294,0.047495759454512926,73696.67,0.1,0.2,67.0,43.0,2026-03-16T04:14:34Z,2026-03-16T05:00:00Z,2026-03-16T05:02:54Z,0,50.0,50.0,-0.2,-50.0,0.02,5.0,-55.0,paper-GEMI-BTC2603160500-HI74000-1773634474,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160500-HI74250,BTC2603160500,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,384,0.13,0.21258718066412222,0.08258718066412221,73946.58,0.02,0.13,11.0,229.0,2026-03-16T04:49:50Z,2026-03-16T05:00:00Z,2026-03-16T05:02:17Z,0,49.92,49.92,-0.13,-49.92,0.02,7.68,-57.6,paper-GEMI-BTC2603160500-HI74250-1773636590,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160500-HI74500,BTC2603160500,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,156,0.32,0.41404997831616885,0.09404997831616885,74405.02,0.15,0.32,10.0,10.0,2026-03-16T04:55:02Z,2026-03-16T05:00:00Z,2026-03-16T05:07:01Z,0,49.92,49.92,-0.32,-49.92,0.02,3.12,-53.04,paper-GEMI-BTC2603160500-HI74500-1773636902,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603160600-HI74250,BTC2603160600,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,238,0.21,0.24342035815158536,0.033420358151585366,73841.0,0.14,0.21,55.0,253.0,2026-03-16T05:07:43Z,2026-03-16T06:00:00Z,2026-03-16T06:08:30Z,0,49.98,49.98,-0.21,-49.98,0.02,4.76,-54.74,paper-GEMI-BTC2603160600-HI74250-1773637663,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
